Source,Target,Weight
 NoToAIArt, HumanArtists,2
 SCP, artwork,2
 commissionTH, commissions,2
 NoToAIArt, NotoAi,2
 commissionTH, commissionopen,2
Commission, SupportHumanArtists,2
 NoToAIArt, NoToAI,2
SupportHumanArtists, NoAIArt,2
 artworks, nftarti̇st,2
Commission, ArtistOnTwitter,2
SupportHumanArtists, NoToAI,2
 NoToAI, HumanArtists,2
 commissionTH, artysiddd,2
 NoAIart, SupportHumanArtists,2
 artworks, nftsale,2
 csp, skillnottalent,2
 csp, humanartist,2
 pottery, clay,2
NoToAIGeneratedImages, noaiart,2
HumanArtist, SupportHumanArtists,2
FanArtFriday, noaiart,2
 SupportHumanArtists, CLIPSTUDIOPAINT,2
 createdontscrape, artysiddd,2
 createdontscrape, digitalart,2
FanArtFriday, SupportHumanArtists,2
FanArtFriday, FanArt,2
 clay, SupportHumanArtists,2
 sayNoToAI, SupportHumanArtists,2
 createdontscrape, noAl,2
 createdontscrape, noaiartwork,2
 createdontscrape, notoaigeneratedimages,2
OC, SupportHumanArtists,2
OpenSeaMarket, NFTAirdrop,2
NoToAIArt, notoai,2
 commissionsopen, artysiddd,2
OpenSeaMarket, NFTsCommunity,2
 sketch, digitalart,2
 RachelDareFanart, pjo,2
 RachelDareFanart, artistsontwitter,2
 commissionsopen, supporthumanartists,2
 RachelDareFanart, PercyJackson,2
 RachelDare, pjotwt,2
 RachelDare, pjo,2
 RachelDare, artistsontwitter,2
NoToAIArt, NoToAIGeneratedImages,2
 RachelDare, RachelDareFanart,2
 RachelDare, PercyJackson,2
 commissionsopen, commissions,2
NoToAI, SupportHumanArtists,2
 commissionsopen, commissionopen,2
 commissionsopen, commissionTH,2
OpenSeaMarket, NFTGiveaway,2
 retwit, writertwt,2
 csp, clipstudiopaint,2
 PercyJackson, pjotwt,2
 commissions, commissionopen,2
 creepypasta, art,2
 commissions, artysiddd,2
 creepypasta, goreart,2
 creepypasta, mandelacatalogue,2
 smallbusinessowner, SupportHumanArtists,2
 PercyJackson, pjo,2
 creepypasta, SCP,2
 PercyJackson, artistsontwitter,2
 SupportHumanArtists, NFTCommunity,2
 SupportHumanArtists, NFTcollection,2
 SupportHumanArtists, NFTshill,2
 Patreon, tg,2
 csp, aiistheft,2
OpenSeaNFT, support,2
NFTCommunity, SupportHumanArtists,2
 commissionsopen, ArtistOnTwitter,2
OpenSeaMarket, nftarti̇st,2
 retwit, SupportHumanArtists,2
OpenSeaMarket, artworks,2
 sketch, artist,2
 commissions, supporthumanartists,2
 skillnottalent, aiistheft,2
OpenSeaMarket, nftartgallery,2
OpenSeaMarket, nftsale,2
OpenSeaNFT, NFTGiveaways,2
 commissions, createdontscrape,2
 skillnottalent, humanartist,2
OpenSeaNFT, BTC,2
 skillnottalent, notoai,2
 SupportHumanArtists, Ethereum,2
 SupportHumanArtists, EtsySeller,2
 digitalart, ArtistOnTwitter,2
 NFTsCommunity, nftarti̇st,2
 SupportHumanArtists, lightwindcreative,2
