,Source,Target,Weight
702, AIart, installation,11
9671, stablediffusion, occultart,11
6294, digitalart, 사이버펑크,11
6293, digitalart, 赛博朋克,11
703, AIart, installationart,11
2500, Promptism, 사이버펑크,11
2493, Promptism, creepyart,11
823, AIartwork, painting,11
763, AIart, 現代アート,11
764, AIart, 現代美術,11
6531, dreamstudio, midjourney,11
9872, stablediffusionart, art,11
803, AIartwork, contemporaryart,11
811, AIartwork, installation,11
812, AIartwork, installationart,11
2494, Promptism, cyberpunk,11
813, AIartwork, investinart,11
814, AIartwork, johannesvermeer,11
817, AIartwork, modernart,11
821, AIartwork, nftartist,11
818, AIartwork, modernekunst,11
819, AIartwork, nft,11
760, AIart, フェルメール,11
9793, stablediffusion, 사이버펑크,11
9792, stablediffusion, 赛博朋克,11
9790, stablediffusion, 現代美術,11
9789, stablediffusion, 現代アート,11
750, AIart, waifudiffusion,11
9786, stablediffusion, フェルメール,11
9785, stablediffusion, サイバーパンク,11
9742, stablediffusion, starryaifeatured,11
820, AIartwork, nftart,11
2499, Promptism, 赛博朋克,11
2498, Promptism, サイバーパンク,11
2497, Promptism, scifiart,11
834, AIartwork, フェルメール,11
2496, Promptism, occultart,11
6292, digitalart, サイバーパンク,11
835, AIartwork, 現代アート,11
2495, Promptism, horrorart,11
1113, AiArtwork, illustration,11
6263, digitalart, scifiart,11
13030,stablediffusion, nft,11
10545, 現代美術, nft,11
10544, 現代美術, modernekunst,11
10543, 現代美術, modernart,11
10542, 現代美術, investinart,11
10541, 現代美術, installationart,11
10540, 現代美術, installation,11
10539, 現代美術, contemporaryart,11
10538, 現代アート, 現代美術,11
10537, 現代アート, nftartist,11
10536, 現代アート, nftart,11
10535, 現代アート, nft,11
10534, 現代アート, modernekunst,11
10533, 現代アート, modernart,11
10532, 現代アート, investinart,11
10531, 現代アート, installationart,11
1168, Aipainting, stablediffusionart,11
1167, Aipainting, stablediffusion,11
10530, 現代アート, installation,11
10529, 現代アート, contemporaryart,11
10423, フェルメール, 現代美術,11
10422, フェルメール, 現代アート,11
10421, フェルメール, nftartist,11
10420, フェルメール, nftart,11
10546, 現代美術, nftart,11
10547, 現代美術, nftartist,11
10570, 赛博朋克, 사이버펑크,11
11119,DigitalDevilDevice, graphicdesign,11
11129,DigitalDevilDevice, 사이버펑크,11
11128,DigitalDevilDevice, 赛博朋克,11
11127,DigitalDevilDevice, サイバーパンク,11
11126,DigitalDevilDevice, stablediffusion,11
11125,DigitalDevilDevice, scifiart,11
11124,DigitalDevilDevice, occultart,11
11123,DigitalDevilDevice, nijijourney,11
11122,DigitalDevilDevice, midjourney,11
11121,DigitalDevilDevice, illustration,11
11120,DigitalDevilDevice, horrorart,11
11118,DigitalDevilDevice, digitalart,11
3592, aiart, nftcommunity,11
11117,DigitalDevilDevice, cyberpunk,11
11116,DigitalDevilDevice, creepyart,11
11115,DigitalDevilDevice, Promptism,11
11114,DigitalDevilDevice, AiArtwork,11
10936,AiLust, stablediffusion,11
10809,AIart, digitalart,11
10772,AIart, Aipainting,11
9658, stablediffusion, nftartist,11
3709, aiartcommunity, AiLust,11
10724,AIArtworks, aiart,11
10419, フェルメール, nft,11
10418, フェルメール, modernekunst,11
10417, フェルメール, modernart,11
11766,aiart, artificialintelligence,11
5699, creepyart, 赛博朋克,11
5700, creepyart, 사이버펑크,11
5722, cyberbeauties, aiartcommunity,11
1079, AiArtSociety, stablediffusion,11
5741, cyberpunk, サイバーパンク,11
5742, cyberpunk, 赛博朋克,11
5743, cyberpunk, 사이버펑크,11
3426, aiart, artist,11
11749,aiart, ai,11
11750,aiart, aiart,11
6107, digitalart, AiArtwork,11
5697, creepyart, occultart,11
6122, digitalart, Promptism,11
6163, digitalart, creepyart,11
3150, ai, aiartwork,11
6199, digitalart, graphicdesign,11
6203, digitalart, horrorart,11
3022, WaifuDiffusion, AIArt,11
6205, digitalart, illustration,11
921, AIイラスト, aiartcommunity,11
6239, digitalart, nijijourney,11
6241, digitalart, occultart,11
5698, creepyart, サイバーパンク,11
5696, creepyart, cyberpunk,11
10416, フェルメール, investinart,11
5614, contemporaryart, nftart,11
10415, フェルメール, installationart,11
10414, フェルメール, installation,11
10413, フェルメール, contemporaryart,11
10412, サイバーパンク, 사이버펑크,11
10411, サイバーパンク, 赛博朋克,11
5609, contemporaryart, installation,11
5610, contemporaryart, installationart,11
5611, contemporaryart, investinart,11
5612, contemporaryart, modernekunst,11
5613, contemporaryart, nft,11
5615, contemporaryart, nftartist,11
1101, AiArtwork, Promptism,11
1121, AiArtwork, 사이버펑크,11
1120, AiArtwork, 赛博朋克,11
1119, AiArtwork, サイバーパンク,11
1117, AiArtwork, scifiart,11
1116, AiArtwork, occultart,11
1115, AiArtwork, nijijourney,11
1114, AiArtwork, midjourney,11
1112, AiArtwork, horrorart,11
1107, AiArtwork, cyberpunk,11
1106, AiArtwork, creepyart,11
8600, painting, 現代美術,11
10213, waifu, cyberbeauties,11
7685, midjourney, occultart,11
8224, nft, midjourney,11
9497, stablediffusion, creepyart,11
7993, modernart, nft,11
7313, johannesvermeer, nft,11
153, AI, investinart,11
9492, stablediffusion, contemporaryart,11
