,Source,Target,Weight
11735, startrek, minecraft,13
11004, ps4, xbox,13
11005, ps5, RPG,13
11769, starwars, eve,13
7936, fortnite, pc,13
11770, starwars, fantasy,13
11006, ps5, aiart,13
11007, ps5, amongus,13
7937, fortnite, ps4,13
7938, fortnite, ps5,13
7942, fortnite, starcitizen,13
7943, fortnite, startrek,13
6765, dalle, fantasy,13
11015, ps5, fantasy,13
7622, eve, fortnite,13
10290, nintendo, RPG,13
6776, dalle, ps4,13
10300, nintendo, fantasy,13
6777, dalle, ps5,13
11778, starwars, nft,13
10303, nintendo, mmo,13
10304, nintendo, nft,13
10305, nintendo, ps4,13
10306, nintendo, ps5,13
11751, startrek, xbox,13
11752, starwars, AI,13
10313, nintendo, xbox,13
11756, starwars, ai,13
11544, stablediffusion, artificialintelligence,13
11755, starwars, RPG,13
11779, starwars, nintendo,13
11780, starwars, pc,13
11782, starwars, ps4,13
11754, starwars, NoMansSky,13
6784, dalle, starcitizen,13
6775, dalle, pc,13
6774, dalle, nintendo,13
11776, starwars, nasa,13
11020, ps5, ps4,13
10291, nintendo, aiart,13
10292, nintendo, amongus,13
2488, NFT, AIart,13
10295, nintendo, art,13
11017, ps5, minecraft,13
11018, ps5, mmo,13
11019, ps5, nft,13
4432, aiartcommunity, aiartist,13
3753, ai, NoMansSky,13
4426, aiartcommunity, ai,13
11757, starwars, aiart,13
3755, ai, RPG,13
11027, ps5, xbox,13
11775, starwars, mmo,13
6769, dalle, minecraft,13
6770, dalle, mmo,13
6771, dalle, nasa,13
6772, dalle, nft,13
7931, fortnite, minecraft,13
7929, fortnite, fantasy,13
15365,midjourney, AI,13
5544, art, minecraft,13
11733, startrek, fantasy,13
7747, fantasy, minecraft,13
5526, art, generativeart,13
7612, eve, amongus,13
4597, aiartcommunity, stablediffusion,13
7611, eve, aiart,13
7610, eve, ai,13
4574, aiartcommunity, pixelzai,13
6743, dalle, NoMansSky,13
7774, fantasy, xbox,13
7609, eve, RPG,13
11720, startrek, NoMansSky,13
11724, startrek, amongus,13
5459, art, amongus,13
3179, RPG, minecraft,13
11723, startrek, aiart,13
3036, NoMansSky, xbox,13
10723, pc, xbox,13
7608, eve, NoMansSky,13
7714, fantasy, RPG,13
5545, art, mmo,13
3029, NoMansSky, ps5,13
5563, art, pixelzai,13
7624, eve, minecraft,13
7625, eve, mmo,13
7626, eve, nasa,13
7627, eve, nft,13
7621, eve, fantasy,13
7616, eve, dalle,13
7628, eve, nintendo,13
7629, eve, pc,13
6747, dalle, ai,13
7630, eve, ps4,13
7631, eve, ps5,13
6746, dalle, RPG,13
11728, startrek, dalle,13
7635, eve, starcitizen,13
7615, eve, art,13
7636, eve, startrek,13
5594, art, xbox,13
14172,ai, pixelzai,13
7641, eve, xbox,13
7606, eve, AI,13
3186, RPG, xbox,13
7924, fortnite, dalle,13
10983, ps4, RPG,13
10985, ps4, amongus,13
10704, pc, art,13
10701, pc, amongus,13
10988, ps4, art,13
10993, ps4, fantasy,13
10995, ps4, minecraft,13
10996, ps4, mmo,13
9881, nft, minecraft,13
